Index	Label
1200013-L&M 7.1 แดง ซองอ่อน	3
0500397-HOT เนสกาแฟริชอโรม่า 36 กรัม	4
7200003-บุหรี่ SMS Red (แดง)	3
1200014-L&M 7.1 เขียว ซองอ่อน	3
1200044-L&M 7.1 Storm (สตอร์ม)	3
1900020-ข้าวสวยหอมมะลิ(ถ้วย)	6
2903507-ถั่วเหลืองUHTแลคตาซอย ด.300	2
3800490-เย็นเย็นจับเลี้ยง400มล.	9
5105300-ไฟแช็ค ไทโย	3
6000159-พายไส้สัปปะรดEB	0
6000277-H FHโดราฯอัลมอนต์	0
6000474-คัพเค้กกล้วยหอมLP	0
7200004-บุหรี่ SMS Green (เขียว)	3
0200121-ไข่ตุ๋นคัพหมูดำคูโรบูตะ	6
0501107-บุก Topping All Cafe	1
3203130-น้ำตาลทรายมิตรผล 1 กก.	8
6000866-ดับเบิ้ลแซนด์วิชกระเป๋าไส้ปูอัดและแฮมมายองเนสLP	0
6000939-คัพเค้กกล้วยหอมช็อคโกแลตชิพLP	0
3200153-น้ำมันปาล์มมรกต 1 ลิตร	8
0200060-ไข่ตุ๋นคัพ สไตล์ญี่ปุ่น ซีพี	6
0200022-เกี๊ยวกุ้ง เจด ดราก้อน	6
6000251-แซนด์วิชหมูหยองโบโลน่าLP	0
6000820-ดับเบิ้ลแซนด์วิชกระเป๋าหมูหยองมายองเนสและปูอัดLP	0
3800098-เย็นเย็นเก๊กฮวย400มล.	9
8906826-DDครีมวอเตอเมลอนจุฬาเฮิร์บspf50pa+++	3
6000957-ดับเบิ้ลแซนด์วิชกระเป๋าไส้ปูอัดและทูน่ามายองเนสLP	0
4200046-เป๊ปซี่ 1 ลิตร	10
6000478-ขนมปังลูกเกดLP	0
4201017-โค้ก 1.25 ลิตร	10
2900011-ถั่วเหลืองUHTไวตามิลค์ดับเบิ้ลแบล็คก.ด.300	2
1900002-โจ๊กหมู	6
6007478-มินิบันไส้กรอกEB	0
0500523-เอสเพรสโซ่เย็นออโต้22ออนซ์	1
6001171-มัฟฟินรสบลูเบอร์รี่LP	0
6000725-ขนมปังรสช็อกโกแลตชิพLP	0
4102254-Hเมล็ดทานตะวันกลิ่นมะพร้าว ชาช่า 95ก.	1
6001002-คัพเค้กช็อกโกแลตLP	0
6007030-H FH หน้าเนยสด	0
4102035-Hเมล็ดทานตะวันกลิ่นมะพร้าว ชาช่า 45ก.	1
6007444-H FHโดราฯชอกโกแลต	0
1200074-บุหรี่ iSCORE BLUE ซองแข็ง	3
6007233-H FHหน้าสังขยา	0
4200151-โค้ก 1.6 ลิตร	10
1000016-เบียร์ลีโอใหญ่ 620ML แพ็ค2	3
1900094-ข้าวกะเพราหมู	6
6000818-ดับเบิ้ลแซนด์วิชกระเป๋าหมูหยองมายองเนสและทูน่าLP	0
1900019-ข้าวกะเพราไก่+ไข่ดาว	6
1900085-ข้าวไรซ์เบอร์รี่	6
0200086-ชิคฟิงเกอร์ ฮอตแอนด์สไปซี่	6
6000107-พายไส้ข้าวโพดEB	0
2904501-UHTโอวัลตินชอคฯ ด.225	2
6001078-คัพเค้กไส้ส้มLP	0
1200047-บุหรี่ iSCORE 5.0 มวนเล็ก	3
5300017-ยาดมตราโป๊ยเซียน 1.7 ซีซี	5
1200078-Camel Yellow (เหลือง)	3
1000002-เบียร์ลีโอใหญ่ 620ML แพ็ค3	3
6000914-ดับเบิ้ลแซนด์วิชกระเป๋าแฮมและหมูหยองพริกเผาLP	0
6000582-แซนด์วิชหมูหยองน้ำสลัดLP	0
6000239-H FHโดนัทเค้กช็อกโก้	0
0500148-เอสเพรสโซ่เย็นออโต้	1
1900006-ข้าวผัดปู	6
1900015-เส้นใหญ่ผัดซีอิ๊วหมู	6
1900029-ข้าวกล้องหอมมะลิ	6
6001366-FHไส้ถั่วแดง	0
6000673-แซนด์วิชปูอัดLP	0
4200091-เอสโคล่า 1 ลิตร	10
4001669-ลูกอมพิชเชอร์แมนส์เฟรนด์มิกซ์เบอร์รี่ 25 ก.	5
6000006-ขนมปังไส้หมูหยองคู่7Fresh	0
4103350-Hเมล็ดฟักทองตรามือ 33 ก.	1
4001110-ลูกอมฟิชเชอร์แมนส์เฟรนด์ชูการ์ฟรีมินต์ 25 ก.	5
6001370-FHไส้สังขยา	0
4101390-Hแซนวิชคุกกี้โอรีโอ ครีมวานิลลา 28.50ก.	10
3802045-โออิชิกรีนทีน้ำผึ้งผสมมะนาว PET	9
2902507-นมเปรี้ยว UHT ดัชมิลล์รวม ด.180	2
6000508-แซนด์วิชโบโลน่ามายองเนสLP	0
2903518-ถั่วเหลืองUHTแลคตาซอย ด.500	2
1900016-ข้าวไข่เจียวกุ้ง	6
2901503-UHTโฟร์โมสต์ชอคฯ ด.225	2
6001364-FHไส้เผือก	0
6000581-H FHฮอดดอกสตรอฯลูกเกด	0
4100392-Hถั่วลิสงโก๋แก่อบเกลือ 42 ก.	1
0501197-ชานมไต้หวันเย็นออโต้	1
6000307-เค้กโรลกลิ่นใบเตยLP	0
6000240-H FHโดนัทเค้กวานิลลา	0
1000059-เบียร์ช้างใหญ่ 620 ml.แพ็ค2	3
1001007-เบียร์ลีโอใหญ่ 620ML	3
4100228-Hถั่วลิสงทองการ์เด้นอบเกลือ 42 ก.	1
1900058-ข้าวปลาผัดพริกสด	6
2200006-ข้าวผัดไก่เกาหลี	6
5300012-ยาเม็ดไทลินอล (4 เม็ด)	5
2900030-UHTนมโฟร์โมสต์จืด ด. 225	2
6000920-บัตเตอร์เค้กLP	0
2900090-ตราหมีโกลด์ไวท์มอลต์ 140	2
4201018-โค้ก 2 ลิตร	10
4100761-Hเวเฟอร์ทิวลี่ทวินจัมโบ้ ช็อกโกแลต 38 ก.	10
6000479-ขนมปังน้ำสลัดหมูหยองGB	0
2200002-ข้าวผัดกะเพราหมู	6
1400275-หน้ากากอนามัยเอ็กซ์ต้า(ด.)	5
3203195-ผงชูรสอายิโนะโมะโตะ 80 ก.	8
8906371-เจลอโลอีสเนลไบรท์สมูทโตะ	3
4200175-เป๊ปซี่ 1.5 ลิตร	10
2900095-UHT ไมโล ด.180	2
6000734-แซนด์วิชกระเป๋าไส้หมูหยองมายองเนสLP	0
6001609-ขนมปังไส้สังขยาAP	0
4100104-Hแซนวิชคุกกี้ฟันโอ ช็อกโกแลต 90 ก.	10
6000454-พายไส้เผือกมะพร้าวอ่อนEB	0
2900302-UHT โอวัลตินช็อกฯ ด.180	2
1900044-ข้าวพะแนงหมู+ไข่เจียวหมูสับ	6
7201001-บุหรี่ กรองทิพย์ 90	3
6000477-เค้กโรลรสส้มLP	0
6000094-เค้กโรลกลิ่นส้มLP	0
4102386-มะม่วงหิมพานต์อบเกลือ ตราสแนค ทาวน์ 30ก.	1
1000114-เบียร์ช้างใหญ่ 620ML แพ็ค3	3
6000359-โรลจิ๋วแฟนซีLP	0
4100613-Hมะม่วงหิมพานต์อบเกลือโก๋แก่พลัส 30 ก.	1
6001079-คัพเค้กสับปะรดLP	0
0500524-คาปูชิโน่เย็นออโต้22ออนซ์	1
6000973-คัพเค้กผลไม้รวมLP	0
6001543-FHไส้สังขยาพร้าว	0
3800798-จับใจ น้ำจับเลี้ยง 500 มล.	9
0500146-คาปูชิโน่เย็นออโต้	1
5300013-ยาเม็ดซาร่า (10 เม็ด)	5
1400251-ยาเม็ดไทลินอล 500 มก. (10 เม็ด)	5
6000317-ครัวซองท์รสนมEB	0
2000091-ข้าวผัดหมู	6
3800393-มินิทเมด พัลพิ	9
6000245-เค้กโรลกลิ่นวานิลลาLP	0
5503027-ซันไลต์ถุงเติม (เดี่ยว)	7
3802044-โออิชิกรีนทีต้นตำรับ PET	9
6001607-ขนมปังไส้ถั่วแดงAP	0
2000046-ข้าวผัดไส้กรอก	6
4200089-เป๊ปซี่ 1.95 ลิตร	10
6000290-FHไส้ถั่วดำ	0
1900071-แกงจืดเต้าหู้หมูสับ	6
4101044-Hเวเฟอร์เบงเบง รสช็อกโกแลต	10
4101751-Hแคลชีส เวเฟอร์สอดไส้ครีมรสชีส 35 กรัม	10
6001542-FHไส้เผือกพร้าว	0
6000923-คัพเค้กกล้วยหอมแพ็คคู่LP	0
6000733-แซนด์วิชกระเป๋าไส้ทูน่าLP	0
0500527-อเมริกาโน่เย็นออโต้22ออนซ์	1
6000271-แซนด์วิชกระเป๋าไส้ปูอัดมายองเนสLP	0
6007051-ขนมปังหน้าเนยLP	0
6007471-ขนมปังพิซซ่าฮาวายเอี้ยนLP	0
6000035-ครัวซองท์EB	0
3800376-แมนซั่มคอลลาเจน 450 มล.	10
6001085-ดับเบิ้ลแซนด์วิชกระเป๋าไส้แฮมและทูน่ามายองเนสLP	0
2000132-Hถั่วแระญี่ปุ่น	6
4001502-เยลลี่จอลลี่แบร์ถุงใหญ่ 55 G.	12
2000038-ข้าวกะเพราหมู	6
2000417-ข้าวผัดปู สูตรใหม่	6
6001464-แพนเบรดไส้ถั่วแดง(LP)	0
2900204-ถั่วเหลืองUHTดีน่างาดำ ด.180	2
6001329-ขนมปังไส้เผือกAP	0
5000395-โลชั่นเภสัชไวท์เทนนิ่งคอลลาเจน	11
6000283-ขนมปังแพไส้สังขยาใบเตยLP	0
4100834-Hเมล็ดทานตะวันชาช่า 5 รส 45 ก.	1
2900052-ถั่วเหลืองUHTดีน่า งาดำ ด.230	2
1001041-เบียร์ช้างใหญ่ 620 ml.	3
2200063-ข้าวเหนียวหมูทอด ตราอีซี่โก	6
6004229-โรลจิ๋วรสส้มLP	0
2901511-UHTไทยเดนมาร์กหวาน ด.250	2
3401150-ผลิตภัณฑ์นมข้นแปลงไขมันหวาน มะลิ 380 ก.	8
2900162-ถั่วเหลืองUHTไวตามิ้ลค์ข้าวบาร์เล่ย์กล่อง ด.300	2
4101616-Hเวเฟอร์โรลสอดไส้ช็อกฯเคลือบคาราเมล เจอร์รี 24ก.	10
3800015-โออิชิกรีนทีข้าวญี่ปุ่นขวดPET	9
6001477-FHไส้บัวถั่วแดง	0
2900154-H UHT ตราหมีเอ็นริช น้ำผึ้ง ด. 180 มล.	2
2200012-ข้าวกะเพราไก่	6
3200610-ซุปผง รสดี หมู 75 กรัม	8
0500048-ลาเต้เย็นออโต้	1
2200003-สปาเก็ตตี้ขี้เมาไก่	6
0800006-Burger ข.ลาบแซ่บ	5
6000500-แซนวิชเผือกLP	0
6000218-H FHโดราฯ ช็อกชิพ	0
2200032-ข้าวลาบหมู-หมูย่าง	6
1200061-บุหรี่ CAMEL BLUE (บลู ซองแข็ง)	3
6001155-ดูโอ้แซนด์วิชไส้หมูหยองมายองเนสLP	0
8902938-เซรั่มเมลาสม่าจุฬาเฮิร์บลองแกน	3
2200044-ข้าวไก่ย่างถ่าน	6
6001463-แพนเบรดไส้เผือก(LP)	0
6007409-H FHโดราฯคัสตาร์ด	0
6000696-H FHฮอทดอกไส้ครีมนมฮอกไกโด	0
4100266-Hถั่วปากอ้าโก๋แก่อบเกลือ 40 ก.	1
3800636-ศิริชินส้มสายน้ำผึ้ง500มล	9
4000845-ลูกอมฟิชเชอร์แมนส์เฟรนด์ฮันนี่เลมอน25ก.	5
1000154-เบียร์ลีโอแคน 490ML แพ็ค2	3
4100060-Hเวเฟอร์ทิวลี่ทวินรสช็อกโกแลต 77 ก.	10
2902007-นมเปรี้ยวUHTดัชมิลรวม(พ.4)180	9
2200024-ผัดมักกะโรนีไก่	6
5000283-สบู่วิตามินอีเบนเนท(ส้ม) ซีแอนด์อี(ด)	11
2000014-ข้าวต้มหมู	6
6004407-เค้กกล้วยหอมLP	0
4101259-Hเค้กยูโร่ คัสตาร์ด (แพ็ค6)	10
2000345-ข้าวผัดน้ำพริกเผาหอยลาย	6
1200033-บุหรี่ iSCORE RED	3
6000880-เค้กโรลรสช็อกโกแลตLP	0
2900031-UHTโฟร์โมสต์พร่องมันเนย ด. 225	2
4102031-Hข้าวโพดอบกรอบตราอ๊ะห์17.5ก	10
6000432-ขนมปังแพไส้ครีมLP	0
0500154-อเมริกาโน่ร้อนออโต้	1
3800012-บิวติดริ้งคอลลาสกิน(ชมพู)	10
1900164-ข้าวหมูซีอิ๊ว+ไข่เจียว	6
4100052-Hถั่วลิสงกรอบโก๋แก่รสกะทิ 75 ก.	1
0200172-ไก่ย่างบาร์บีคิว 7-Fresh	6
0500465-ชานมเย็นออโต้	1
2900009-ถั่วเหลืองUHTแลคตาซอย เจ ด. 300	2
6000608-H FHหน้านมฮอกไกโด	0
6001170-ซอฟท์เค้กรสใบเตยLP	0
0500152-คาปูชิโน่ร้อนออโต้	1
6000029-เค้กฝอยทองSF	0
4200083-เอสโคล่า 1.6 ลิตร	10
3200415-น้ำมันปาล์มตราเกสร 1 ลิตร	8
6007032-H FHแพเนยสด140ก	0
4100300-Hแซนวิชคุกกี้ฟันโอ ช็อกโก ช็อกโกแลต 90 ก.	10
6004457-เค้กเนยLP	0
6007031-H FHแพเผือก140ก	0
2900215-UHTโฟร์โมสต์สตรอเบอร์รี่ ด.225	2
2200025-สปาเก็ตตี้ไก่ซอสมะเขือเทศ	6
4202027-สไปรท์ 1.25 ลิตร	10
6001159-พายไส้แฮมมันฝรั่ง7Fresh	0
6000719-พายไส้มะพร้าวEB	0
2000056-สปาเก็ตตี้คาโบนาร่า	6
3800213-สแปลช น้ำส้ม 250 มล.	9
6001158-เค้กโรลรสสับปะรดLP	0
4100226-Hคุกกี้ครีมโอช็อกโกพลัส 90ก.	10
2200048-Hข้าวปลาทอดลุยสวน	6
0500526-ลาเต้เย็นออโต้22ออนซ์	1
2900034-UHTไทยเดนมาร์กจืด ด.250	2
0500153-เอสเพรสโซ่ร้อนออโต้	1
5002443-โลชั่นเภสัชเอ็กซ์ตร้าไวท์อัลฟ่าอาร์บูติน	11
6001095-แพนเบรดไส้ถั่วไข่เค็มLP	0
3200614-ซุปผง รสดี หมู 165 กรัม	8
4101345-เวเฟอร์โลซาน รสโกโก้ 28 ก.	10
1000148-เบียร์ลีโอแคน 490ML	3
1000049-เบียร์ช้างคลาสสิคแคน490ML	3
2900127-UHTโฟร์โมสต์ช็อคฯพร่องมันเนยด.225	2
1000089-เบียร์ช้างคลาสสิคแคน490MLแพ็ค2	3
6004221-เค้กโรลวานิลาLP	0
2900333-UHT โอวัลตินสมาร์ท ด.170มล.	2
3203372-น้ำปลาทิพรส 700 cc	8
6000427-ขนมปังพิซซ่าปูอัดLP	0
2902506-นมเปรี้ยวUHTดัชมิลส้ม ด. 180	2
1200034-บุหรี่ iSCORE GREEN	3
