Index	Label
เอ็ม150	0
น้ำดื่มคริสตัล600มล.	80
กาแฟเบอร์ดี้ โรบัสต้า	0
HOT เนสกาแฟริชอโรม่า 36 กรัม	32
เนสกาแฟเอสเปรสโซแคน	0
เครื่องดื่มคาราบาวแดง	0
บุหรี่ SMS Red (แดง)	85
ไข่ไก่ต้มสุกตราซีพี	48
ข้าวสวยหอมมะลิ(ถ้วย)	48
น้ำดื่มเซเว่นซีเล็ค600มล.	80
ถั่วเหลืองUHTแลคตาซอย ด.300	67
#ลิโพวิตันดี	0
น้ำดื่มสิงห์ 750 CC.	80
น้ำดื่มเพียวไลฟ์ 600 CC.	80
น้ำดื่มสิงห์ 600 มล.	80
Mกาแฟเย็น	33
น้ำดื่มเพียวไลฟ์330ml.	80
โค้ก500มล.	22
H FHแซนด์วิช240ก	256
พายไส้สัปปะรดEB	101
Lกาแฟเย็น	33
Hกูลิโกะป๊อกกี้ ช็อคโกแลต 49ก.	224
ยันฮีวิตามินวอเตอร์ 460 มล.	80
Sกาแฟเย็น	33
H FHโดราฯอัลมอนต์	137
เป๊ปซี่ 410 มล.	22
Hคอนเน่รสดั้งเดิม 28 ก.	253
แบรนด์ซุปไก่  42 ซีซี	82
โบโลน่าพริก	40
ไข่ลวก ตราซีพี	48
น้ำดื่มสปริงเคิล 550 มล.	80
คัพเค้กกล้วยหอมLP	104
บุหรี่ SMS Green (เขียว)	85
ไข่ตุ๋นคัพหมูดำคูโรบูตะ	48
นมเปรี้ยวบีทาเก้นพร่อง140	62
น้ำแร่เพอร์ร่า 750 มล.	80
นมเปรี้ยวบีทาเก้นพร่อง ขวด 300มล.	79
H FHโฮลวีต250ก	256
บุก Topping All Cafe	65
น้ำดื่มเซเว่นซีเล็ค350มล.	80
ไข่ต้มยางมะตูมซีพี(1ฟอง)	48
กาแฟเบอร์ดี้ เอสเพรสโซ่ 180 มล.	0
เป๊ปซี่ 550 มล.	22
อิชิตันกรีนน้ำผึ้งมะนาว PET420	21
แก้วน้ำแข็งเปล่าBig 32 Oz.	11
แบรนด์ซุปไก่ 70 ซีซี.	82
ดับเบิ้ลแซนด์วิชกระเป๋าไส้ปูอัดและแฮมมายองเนสLP	97
คัพเค้กกล้วยหอมช็อคโกแลตชิพLP	104
Hกูลิโกะป๊อกกี้ รสสตรอเบอรี่ 47ก.	224
ไข่ตุ๋นคัพ สไตล์ญี่ปุ่น ซีพี	48
นมเปรี้ยวดีไลท์ ขวด 160	70
เลย์คลาสสิครสโนริสาหร่าย 50 ก.	245
นมเปรี้ยวบีทาเก้นไลท์ ขวด 300 มล.	79
เกี๊ยวกุ้ง เจด ดราก้อน	42
แซนด์วิชหมูหยองโบโลน่าLP	97
ดับเบิ้ลแซนด์วิชกระเป๋าหมูหยองมายองเนสและปูอัดLP	97
DDครีมวอเตอเมลอนจุฬาเฮิร์บspf50pa+++	180
Hโปเต้ดั้งเดิม 32 ก.	253
ดับเบิ้ลแซนด์วิชกระเป๋าไส้ปูอัดและทูน่ามายองเนสLP	97
Hข้าวโพดโตโร่อบเนย 80 ก.	239
เป๊ปซี่ 1 ลิตร	261
ถุงใส่น้ำแข็ง	11
แก้วน้ำแข็งเปล่าL 22 Oz.	11
ขนมปังลูกเกดLP	100
โค้ก 1.25 ลิตร	261
โบโลน่าธรรมดา	40
ถั่วเหลืองUHTไวตามิลค์ดับเบิ้ลแบล็คก.ด.300	67
Hปาปริก้า 32 ก.	253
จีเอสดี ตังกุยจับ	0
มินิบันไส้กรอกEB	100
เอสเพรสโซ่เย็นออโต้22ออนซ์	63
มาม่า รสต้มยำกุ้งน้ำข้น 55 ก.(ด)	259
เลย์ร็อครสบาร์บีคิว 50 ก.	245
ขนมปังรสช็อกโกแลตชิพLP	100
คัพเค้กช็อกโกแลตLP	104
ขนมจีบกุ้ง	55
ปลาแมคเคอเรลในซอสมะเขือเทศ ตรามงกุฎทะเล145ก.	134
Hเมล็ดทานตะวันกลิ่นมะพร้าว ชาช่า 45ก.	241
H FHโดราฯชอกโกแลต	137
โค้ก 1.6 ลิตร	261
เบียร์ลีโอใหญ่ 620ML แพ็ค2	211
นมเปรี้ยวบีทาเก้นพร่อง ข.400	79
ข้าวกะเพราหมู	46
โค้ก 325 มล.	26
ปูเบนโตะ	41
Hคอนเน่รสดั้งเดิม 56 ก.	238
นมเปรี้ยวดีไลท์หวานน้อย ขวด 160	70
เลย์คลาสสิครสมันฝรั่งแท้ 50 ก.	245
ดับเบิ้ลแซนด์วิชกระเป๋าหมูหยองมายองเนสและทูน่าLP	97
เลย์ร็อครสมันฝรั่งแท้ 50 ก.	245
โออิชิองุ่นเคียวโฮ380มล.	21
ไวไวควิกคัพ รสต้มโคล้ง 60 ก.	92
โอนิกิริแซลมอนย่างซีอิ๊ว	44
ข้าวกะเพราไก่+ไข่ดาว	46
ข้าวไรซ์เบอร์รี่	48
ชิคฟิงเกอร์ ฮอตแอนด์สไปซี่	49
พายไส้ข้าวโพดEB	101
มินิคอกเทล	40
บิ๊กเปาหมูสับไข่เค็ม	55
UHTโอวัลตินชอคฯ ด.225	69
น้ำแร่เพอร์ร่า 600 มล.	80
คัพเค้กไส้ส้มLP	104
เลย์ร็อครสหมึกย่างฮอตชิลลี่ 50ก.	245
ยาดมตราโป๊ยเซียน 1.7 ซีซี	12
นมพาสฯเมจิจืด ขวด 450	74
Hทาโรเข้มข้น 25 ก.	233
เบียร์ลีโอใหญ่ 620ML แพ็ค3	211
สโมกกี้ไบท์	54
น้ำแร่มิเนเร่ 500 มล.	80
ทีโอเปล็กซ์แอล	0
ดับเบิ้ลแซนด์วิชกระเป๋าแฮมและหมูหยองพริกเผาLP	97
Hข้าวโพดอบกรอบทวิสโก้บาร์บีคิว 34 กรัม	253
แซนด์วิชหมูหยองน้ำสลัดLP	97
H FHโดนัทเค้กช็อกโก้	137
นมพาสฯเมจิจืด ขวด 200	56
ข้าวผัดปู	46
นมเปรี้ยวบีทาเก้นไลท์140	62
เส้นใหญ่ผัดซีอิ๊วหมู	46
ข้าวกล้องหอมมะลิ	48
FHไส้ถั่วแดง	136
แซนด์วิชปูอัดLP	97
เต้าหู้หลอดไข่ไก่ ซี.พี.	41
เอสโคล่า 1 ลิตร	261
เม็ดอมฮอลล์เอ็กซ์เอสรสวอเตอร์เมลอน 15 ก.	3
บิ๊กเปาหมูสับ	55
เลย์ร็อครสบาร์บีคิว 75 ก.	246
ขนมปังไส้หมูหยองคู่7Fresh	100
Hเมล็ดฟักทองตรามือ 33 ก.	241
FHไส้สังขยา	136
Hแซนวิชคุกกี้โอรีโอ ครีมวานิลลา 28.50ก.	217
นมเปรี้ยวพาสฯดัชมิลผลไม้ขวด 160	64
แซนด์วิชโบโลน่ามายองเนสLP	97
ข้าวไข่เจียวกุ้ง	46
มาม่าออเรียลทัล รสฮอตโคเรียน 85 กรัม	260
อมยิ้มจูปาจุ๊ปส์คละรส 11 G	116
UHTโฟร์โมสต์ชอคฯ ด.225	70
FHไส้เผือก	136
นมเปรี้ยวพาสฯดีไลท์ สูตรน้ำตาล 0.1% 160 มล.	70
น้ำแร่มิเนเร่ 1500 CC.	81
เฉาก๊วยในน้ำเชื่อม ปุ้นแอนด์เปา	140
โค้กแคน 180 มล.	26
นมเปรี้ยวดัชมิลล์ดีไลท์ 160 มล. ไฟเบอร์	70
น้ำแร่ออรา 500 มล.	80
Hถั่วลิสงโก๋แก่อบเกลือ 42 ก.	240
ชานมไต้หวันเย็นออโต้	65
นมพาสฯดัชมิลล์ จืด ขวด 400	74
ซาหริ่มมะพร้าวอ่อน7Fresh	140
กูลิโกะแอลฟี่รสช็อกโกแลต 31 ก.	139
Hทาโรรสบาร์บีคิว 25 ก.	233
เลย์ร็อครสมันฝรั่งแท้ 75 ก.	246
Hปลาหมึกอบเบนโตะรสทรงเครื่อง 20 ก.	233
เค้กโรลกลิ่นใบเตยLP	103
ฟุตลองชีส สูตรใหม่	54
เบอร์เกอร์กุ้ง	61
อาหารเช้า โกโก้ครันซ์ 25 ก.	8
น้ำแร่เซเว่นซีเล็ค 1L	80
ไวไวควิก รสต้มโคล้ง 60 ก.(ด)	259
H FHโดนัทเค้กวานิลลา	137
เบียร์ช้างใหญ่ 620 ml.แพ็ค2	211
Hมันฝรั่งแท่งแจ็กซ์รสซอสมะเขือเทศ 28 ก.	253
แซนวิชครัวซองค์ทูน่าแซลมอน	59
ไส้กรอกเวียนเนอร์	40
เบียร์ลีโอใหญ่ 620ML	211
Hถั่วลิสงทองการ์เด้นอบเกลือ 42 ก.	240
H FHสไลด์ขอบ220ก	256
ข้าวปลาผัดพริกสด	46
ข้าวผัดไก่เกาหลี	46
เลย์คลาสสิครสมันฝรั่งแท้ 75 ก.	246
ยาเม็ดไทลินอล (4 เม็ด)	12
UHTนมโฟร์โมสต์จืด ด. 225	70
บัตเตอร์เค้กLP	104
ตราหมีโกลด์ไวท์มอลต์ 140	68
โค้ก 2 ลิตร	261
นมพาสฯเมจิกาแฟ ขวด 200	56
Hเวเฟอร์ทิวลี่ทวินจัมโบ้ ช็อกโกแลต 38 ก.	216
ชเวปส์ มะนาวโซดาแคน 330มล.	26
ขนมปังน้ำสลัดหมูหยองGB	102
ข้าวผัดกะเพราหมู	46
หน้ากากอนามัยเอ็กซ์ต้า(ด.)	19
อิชิตันกรีนที ข้าวญี่ปุ่น PET420	21
โสมอินซัม	0
Hฮานามิรสดั้งเดิม 30 ก	253
เจเล่เยลลี่บิวตี้ ลิ้นจี่	73
นมเปรี้ยวพาสฯดัชมิลผลไม้ ขวด 400	79
เจลอโลอีสเนลไบรท์สมูทโตะ	178
น้ำดื่มน้ำทิพย์ 550มล.	80
ไส้กรอกรมควัน	40
เป๊ปซี่ 1.5 ลิตร	261
มาม่าออเรียลทัล รสผัดไข่เค็ม 85 กรัม	260
กาโตะ ลิ้นจี่ผสมวุ้นมะพร้าว	16
อาหารเช้า คอปป รสชอกโกแลต 70 กรัม	8
นิสชินซอง รสไก่เผ็ดเกาหลี 60 กรัม	260
โสมพลัส 95 มล.	0
เอแคลร์นมสด 7Fresh	39
เป๊ปซี่แมกซ์ 550 มล.	22
น้ำแร่มองต์เฟลอร์ 500 ML.	80
เป๊ปซี่ไลม์ 410 มล.	22
เจเล่เยลลี่บิวตี้วิตามิน	73
ครีมการ์นิเย่ไลท์คอมพลีท(ซอง)	164
Hแซนวิชคุกกี้ฟันโอ ช็อกโกแลต 90 ก.	221
พายไส้เผือกมะพร้าวอ่อนEB	101
ยำยำคัพเต็มๆ รสต้มยำทะเลหม้อไฟ 60 ก.	92
ข้าวพะแนงหมู+ไข่เจียวหมูสับ	46
เค้กโรลรสส้มLP	104
เค้กโรลกลิ่นส้มLP	103
เบียร์ช้างใหญ่ 620ML แพ็ค3	211
แซนวิชครัวซองค์แฮมชีส	59
นมพาสฯเมจิชอค ขวด 200	56
คนอร์คัพโจ๊ก รสหมู ถ้วย 35 ก.	258
เลย์คลาสสิครสซาวครีมและหัวหอม 50 ก.	245
คัพเค้กสับปะรดLP	104
ไข่ออนเซ็นซีพี	48
นมพาสฯเมจิจืด ขวด 2000	77
Hฮานามิรสดั้งเดิม 60 ก.	238
คาปูชิโน่เย็นออโต้22ออนซ์	63
คัพเค้กผลไม้รวมLP	104
Hกูลิโกะป๊อกกี้ รสคุกกี้และครีม 45กรัม	224
โค้กไม่มีน้ำตาล 500 มล.	22
FHไส้สังขยาพร้าว	136
แบรนด์วีต้าเบอร์รี่ 42 ซีซี	82
สไปรท์500มล.	22
อิชิตันกรีนที ต้นตำรับ PET420	21
Hขนมน่องไก่รสบาร์บีคิวเกาหลีผสมสาหร่าย 50 ก.	244
Hแคมปัสช็อคโกแลต 30 ก.	253
ปลาซาร์ดีนในซอสมะเขือเทศ ตราสามแม่ครัว 155 ก.	134
Hปาร์ตี้รสคาราเมล 30 ก.	253
ยาเม็ดซาร่า (10 เม็ด)	12
ยาเม็ดไทลินอล 500 มก. (10 เม็ด)	15
ครีมการ์นิเย่ซากุระไวท์ (ซอง)	164
ไวไว รสหอยลายผัดฉ่า 60 ก.(ด)	259
อาหารเช้า ไมโล ซีเรียล 25 ก.	8
ยำยำคัพเต็มๆ รสต้มยำกุ้ง 60 ก.	92
โยเกิร์ตดัชชี่0%วุ้นมะพร้าว 135 g.	6
ไข่ต้มปอกเปลือก ซีพี	48
ครัวซองท์รสนมEB	101
เลย์คลาสสิครสโนริสาหร่าย 75 ก.	246
Hโรลเลอร์โคสเตอร์รสชีสต้นตำรับ 28 ก.	253
@เนสกาแฟ 3in 1 เบลนด์แอนด์บรู ริช อโรมา พ.4	29
เค้กโรลกลิ่นวานิลลาLP	103
มาม่าออเรียนทัลคิตเชนซองรสฮอตแอนด์สไปซี 85 กรัม	260
นมข้นหวานมะลิหลอดบีบ 170 กรัม	255
สลัดทูน่า 7Fresh	45
Hคารามูโจ้แผ่นเรียบรสฮ๊อตชิลลี่48ก.	236
โอนิกิริแซลมอนย่างเกลือ	44
Hข้าวอบกรอบโดโซะรสคอร์นชีส 56 ก.	248
ข้าวผัดไส้กรอก	53
เป๊ปซี่ 1.95 ลิตร	261
FHไส้ถั่วดำ	136
มันหวานญี่ปุ่นเผา	43
@เม็ดอมฮอลล์เอ็กซ์เอสคัลเลอร์ 15 ก.	3
Hข้าวเกรียบแฟชั่นฟู้ดรสมะเขือเทศ 15 ก.	253
แกงจืดเต้าหู้หมูสับ	48
โออิชิกรีนทีชาคูลล์ซ่าแคนรสน้ำผึ้งมะนาว	26
Hเวเฟอร์เบงเบง รสช็อกโกแลต	215
Hแคลชีส เวเฟอร์สอดไส้ครีมรสชีส 35 กรัม	218
FHไส้เผือกพร้าว	136
โอนิกิริไข่กุ้งมายองเนส	44
Hสแน็คแจ๊ครสดั้งเดิม 34 ก.	253
เบอร์เกอร์หมู	61
ชีสโทสต์แซนวิช	59
